id,word,total_count,total_frequency,trump_count,trump_frequency
29,the,5197,0.038498863,5197,0.038498863
19,and,3278,0.0242831,3278,0.0242831
7,to,3150,0.023334889,3150,0.023334889
2,of,2455,0.018186398,2455,0.018186398
89,a,2068,0.01531954,2068,0.01531954
28,in,1859,0.013771288,1859,0.013771288
92,is,1787,0.01323792,1787,0.01323792
12,for,1518,0.011245194,1518,0.011245194
236,will,1115,0.00825981,1115,0.00825981
246,are,996,0.00737827,996,0.00737827
397,I,992,0.007348638,992,0.007348638
13,our,924,0.006844901,924,0.006844901
179,be,924,0.006844901,924,0.006844901
113,that,897,0.006644887,897,0.006644887
973,&amp;,889,0.006585624,889,0.006585624
155,on,869,0.006437466,869,0.006437466
8,have,741,0.005489255,741,0.005489255
157,The,681,0.005044781,681,0.005044781
110,with,664,0.004918846,664,0.004918846
205,has,613,0.004541043,613,0.004541043
6,was,577,0.004274359,577,0.004274359
184,it,545,0.004037306,545,0.004037306
52,they,517,0.003829885,517,0.003829885
271,we,515,0.003815069,515,0.003815069
142,by,500,0.003703951,500,0.003703951
786,you,466,0.003452082,466,0.003452082
3,my,439,0.003252069,439,0.003252069
93,not,426,0.003155766,426,0.003155766
330,he,420,0.003111319,420,0.003111319
14,great,415,0.003074279,415,0.003074279
1017,your,415,0.003074279,415,0.003074279
269,all,404,0.002992792,404,0.002992792
412,this,403,0.002985384,403,0.002985384
138,people,381,0.00282241,381,0.00282241
505,We,376,0.002785371,376,0.002785371
2187,Biden,374,0.002770555,374,0.002770555
625,from,356,0.002637213,356,0.002637213
248,as,355,0.002629805,355,0.002629805
136,very,352,0.002607581,352,0.002607581
86,They,346,0.002563134,346,0.002563134
172,who,343,0.00254091,343,0.00254091
131,than,337,0.002496463,337,0.002496463
1380,Fake,335,0.002481647,335,0.002481647
220,He,311,0.002303857,311,0.002303857
2404,Joe,308,0.002281634,308,0.002281634
369,just,305,0.00225941,305,0.00225941
84,more,296,0.002192739,296,0.002192739
280,their,295,0.002185331,295,0.002185331
116,his,293,0.002170515,293,0.002170515
176,would,291,0.002155699,291,0.002155699
159,but,290,0.002148291,290,0.002148291
170,or,289,0.002140883,289,0.002140883
56,at,282,0.002089028,282,0.002089028
634,Great,274,0.002029765,274,0.002029765
256,out,264,0.001955686,264,0.001955686
88,up,258,0.001911239,258,0.001911239
255,been,247,0.001829752,247,0.001829752
558,even,243,0.00180012,243,0.00180012
103,This,235,0.001740857,235,0.001740857
126,do,234,0.001733449,234,0.001733449
408,so,234,0.001733449,234,0.001733449
196,never,224,0.00165937,224,0.00165937
699,like,224,0.00165937,224,0.00165937
53,should,223,0.001651962,223,0.001651962
151,an,223,0.001651962,223,0.001651962
134,A,221,0.001637146,221,0.001637146
311,what,219,0.00162233,219,0.00162233
1381,News,218,0.001614922,218,0.001614922
572,get,216,0.001600107,216,0.001600107
314,which,211,0.001563067,211,0.001563067
139,were,210,0.001555659,210,0.001555659
216,many,209,0.001548251,209,0.001548251
104,President,207,0.001533436,207,0.001533436
2100,Complete,206,0.001526028,206,0.001526028
275,want,205,0.00151862,205,0.00151862
2099,Total,205,0.00151862,205,0.00151862
484,no,199,0.001474172,199,0.001474172
852,now,196,0.001451949,196,0.001451949
571,-,193,0.001429725,193,0.001429725
79,Democrats,191,0.001414909,191,0.001414909
94,going,190,0.001407501,190,0.001407501
458,American,190,0.001407501,190,0.001407501
2101,Endorsement!,187,0.001385278,187,0.001385278
447,other,185,0.001370462,185,0.001370462
1043,State,177,0.001311199,177,0.001311199
422,about,176,0.001303791,176,0.001303791
66,Trump,173,0.001281567,173,0.001281567
77,It,173,0.001281567,173,0.001281567
393,Thank,166,0.001229712,166,0.001229712
820,big,166,0.001229712,166,0.001229712
188,THE,165,0.001222304,165,0.001222304
128,only,158,0.001170448,158,0.001170448
163,If,158,0.001170448,158,0.001170448
787,doing,158,0.001170448,158,0.001170448
834,Radical,157,0.00116304,157,0.00116304
431,had,155,0.001148225,155,0.001148225
62,New,153,0.001133409,153,0.001133409
350,back,153,0.001133409,153,0.001133409
391,Republican,153,0.001133409,153,0.001133409
605,Democrat,153,0.001133409,153,0.001133409
3065,me,151,0.001118593,151,0.001118593
272,done,147,0.001088961,147,0.001088961
495,them,146,0.001081554,146,0.001081554
107,over,144,0.001066738,144,0.001066738
218,got,143,0.00105933,143,0.00105933
377,because,142,0.001051922,142,0.001051922
409,much,140,0.001037106,140,0.001037106
2069,Second,138,0.00102229,138,0.00102229
964,job,136,0.001007475,136,0.001007475
551,when,135,0.001000067,135,0.001000067
