date,fake,radical,sleepy,corrupt,Lamestream,y_range,,,,,,,
2020-01-08,0.00,0.00,0.00,0.00,0.00,"0,10",,,,,,,
2020-01-09,0.00,0.00,0.00,1.00,0.00,"0,10",,,,,,,
2020-01-10,0.00,1.00,0.00,2.00,0.00,"0,10",,,,,,,
2020-01-11,0.00,3.00,0.00,2.00,0.00,"0,10",,,,,,,
2020-01-12,0.00,4.00,0.00,3.00,0.00,"0,10",,,,,,,
2020-01-13,3.00,4.00,0.00,3.00,0.00,"0,10",,,,,,,
2020-01-14,3.00,4.00,0.00,4.00,0.00,"0,10",,,,,,,
2020-01-15,3.00,4.00,0.00,5.00,0.00,"0,10",,,,,,,
2020-01-16,3.00,4.00,0.00,6.00,0.00,"0,10",,,,,,,
2020-01-17,3.00,4.00,1.00,6.00,0.00,"0,10",,,,,,,
2020-01-18,4.00,4.00,1.00,6.00,0.00,"0,10",,,,,,,
2020-01-19,5.00,4.00,1.00,6.00,0.00,"0,10",,,,,,,
2020-01-20,5.00,4.00,1.00,8.00,0.00,"0,10",,,,,,,
2020-01-21,6.00,4.00,1.00,8.00,0.00,"0,10",,,,,,,
2020-01-22,7.00,4.00,1.00,8.00,0.00,"0,10",,,,,,,
2020-01-23,8.00,6.00,2.00,9.00,0.00,"0,10",,,,,,,
2020-01-24,8.00,8.00,2.00,9.00,0.00,"0,10",,,,,,,
2020-01-25,9.00,10.00,2.00,9.00,0.00,"0,10",,,,,,,
2020-01-26,11.00,11.00,4.00,12.00,0.00,"0,10",,,,,,,
2020-01-27,11.00,11.00,4.00,12.00,0.00,"0,10",,,,,,,
2020-01-28,12.00,11.00,4.00,12.00,0.00,"0,10",,,,,,,
2020-01-29,12.00,11.00,4.00,13.00,0.00,"0,10",,,,,,,
2020-01-30,13.00,11.00,4.00,14.00,0.00,"0,10",,,,,,,
2020-01-31,13.00,13.00,4.00,14.00,0.00,"0,10",,,,,,,
2020-02-01,15.00,13.00,4.00,14.00,0.00,"0,10",,,,,,,
2020-02-02,16.00,14.00,4.00,14.00,0.00,"0,20",,,,,,,
2020-02-03,16.00,15.00,4.00,15.00,0.00,"0,20",,,,,,,
2020-02-04,16.00,15.00,4.00,15.00,0.00,"0,20",,,,,,,
2020-02-05,16.00,15.00,4.00,15.00,0.00,"0,20",,,,,,,
2020-02-06,16.00,16.00,4.00,16.00,0.00,"0,20",,,,,,,
2020-02-07,16.00,16.00,5.00,16.00,0.00,"0,20",,,,,,,
2020-02-08,18.00,17.00,5.00,17.00,0.00,"0,20",,,,,,,
2020-02-09,20.00,17.00,5.00,17.00,0.00,"0,20",,,,,,,
2020-02-10,21.00,17.00,5.00,18.00,0.00,"0,20",,,,,,,
2020-02-11,21.00,17.00,5.00,18.00,0.00,"0,20",,,,,,,
2020-02-12,23.00,17.00,5.00,18.00,0.00,"0,20",,,,,,,
2020-02-13,23.00,17.00,5.00,18.00,0.00,"0,20",,,,,,,
2020-02-14,23.00,17.00,5.00,18.00,0.00,"0,20",,,,,,,
2020-02-15,23.00,17.00,5.00,18.00,0.00,"0,20",,,,,,,
2020-02-16,24.00,17.00,5.00,18.00,0.00,"0,20",,,,,,,
2020-02-17,24.00,17.00,5.00,18.00,0.00,"0,30",,,,,,,
2020-02-18,29.00,17.00,5.00,18.00,0.00,"0,30",,,,,,,
2020-02-19,30.00,17.00,5.00,20.00,0.00,"0,30",,,,,,,
2020-02-20,30.00,17.00,5.00,21.00,0.00,"0,30",,,,,,,
2020-02-21,31.00,19.00,5.00,21.00,0.00,"0,30",,,,,,,
2020-02-22,32.00,19.00,5.00,22.00,0.00,"0,30",,,,,,,
2020-02-23,33.00,19.00,5.00,23.00,0.00,"0,30",,,,,,,
2020-02-24,33.00,19.00,5.00,23.00,0.00,"0,30",,,,,,,
2020-02-25,34.00,19.00,5.00,24.00,0.00,"0,30",,,,,,,
2020-02-26,37.00,19.00,5.00,24.00,0.00,"0,30",,,,,,,
2020-02-27,37.00,19.00,5.00,24.00,0.00,"0,30",,,,,,,
2020-02-28,38.00,19.00,5.00,24.00,0.00,"0,40",,,,,,,
2020-02-29,39.00,19.00,5.00,24.00,0.00,"0,40",,,,,,,
2020-03-01,40.00,19.00,8.00,24.00,0.00,"0,40",,,,,,,
2020-03-02,41.00,20.00,10.00,24.00,0.00,"0,40",,,,,,,
2020-03-03,41.00,20.00,11.00,24.00,0.00,"0,40",,,,,,,
2020-03-04,41.00,20.00,14.00,24.00,0.00,"0,40",,,,,,,
2020-03-05,44.00,20.00,14.00,24.00,0.00,"0,40",,,,,,,
2020-03-06,45.00,20.00,15.00,24.00,0.00,"0,40",,,,,,,
2020-03-07,45.00,20.00,15.00,24.00,0.00,"0,40",,,,,,,
2020-03-08,47.00,20.00,16.00,24.00,0.00,"0,40",,,,,,,
2020-03-09,50.00,20.00,16.00,25.00,0.00,"0,50",,,,,,,
2020-03-10,51.00,20.00,16.00,26.00,0.00,"0,50",,,,,,,
2020-03-11,52.00,20.00,17.00,26.00,0.00,"0,50",,,,,,,
2020-03-12,52.00,20.00,17.00,26.00,0.00,"0,50",,,,,,,
2020-03-13,52.00,20.00,18.00,26.00,0.00,"0,50",,,,,,,
2020-03-14,52.00,20.00,18.00,26.00,0.00,"0,50",,,,,,,
2020-03-15,54.00,20.00,18.00,27.00,0.00,"0,50",,,,,,,
2020-03-16,54.00,20.00,18.00,27.00,0.00,"0,50",,,,,,,
2020-03-17,54.00,20.00,18.00,27.00,0.00,"0,60",,,,,,,
2020-03-18,56.00,20.00,19.00,28.00,0.00,"0,60",,,,,,,
2020-03-19,56.00,20.00,19.00,28.00,0.00,"0,60",,,,,,,
2020-03-20,56.00,20.00,19.00,28.00,0.00,"0,60",,,,,,,
2020-03-21,56.00,20.00,19.00,28.00,0.00,"0,60",,,,,,,
