id,x,y,cluster_id,text,
815422000000000000,-30.71792221,21.13669777,2,"TO ALL AMERICANS-#HappyNewYear &amp, many blessings to you all! Looking forward to a wonderful &amp, prosperous 2017 as we... https://t.co/1asdMAL4iy",
815931000000000000,-34.79880524,-7.602906704,0,"Well, the New Year begins. We will, together, MAKE AMERICA GREAT AGAIN!",
815974000000000000,3.444438457,17.49729156,3,"Chicago murder rate is record setting - 4,331 shooting victims with 762 murders in 2016. If Mayor can't do it he must ask for Federal help!",
815989000000000000,1.6160326,-18.56923676,3,"""@CNN just released a book called """"Unprecedented"""" which explores the 2016 race &amp, victory. Hope it does well but used worst cover photo of me!""",
815990000000000000,29.23476219,-18.25514221,0,"Various media outlets and pundits say that I thought I was going to lose the election. Wrong, it all came together in the last week and.....",
815992000000000000,39.8503685,-17.73000717,0,"I thought and felt I would win big, easily over the fabled 270 (306). When they cancelled fireworks, they knew, and so did I.",
816058000000000000,-4.358662605,-28.96897125,2,North Korea just stated that it is in the final stages of developing a nuclear weapon capable of reaching parts of the U.S. It won't happen!,
816068000000000000,4.485993862,-4.147221565,3,"China has been taking out massive amounts of money &amp, wealth from the U.S. in totally one-sided trade, but won't help with North Korea. Nice!",
816260000000000000,-1.990362167,17.04816628,3,General Motors is sending Mexican made model of Chevy Cruze to U.S. car dealers-tax free across border. Make in U.S.A.or pay big border tax!,
816264000000000000,29.4784832,5.814247608,0,"""People must remember that ObamaCare just doesn't work, and it is not affordable - 116% increases (Arizona). Bill Clinton called it """"CRAZY""""""",
816266000000000000,30.18498993,6.770947456,3,"""The Democrat Governor.of Minnesota said """"The Affordable Care Act (ObamaCare) is no longer affordable!"""" - And, it is lousy healthcare.""",
816299000000000000,33.27689743,-2.918310404,0,"With all that Congress has to work on, do they really have to make the weakening of the Independent Ethics Watchdog, as unfair as it",
816300000000000000,10.41207695,-0.587161303,2,"........may be, their number one act and priority. Focus on tax reform, healthcare and so many other things of far greater importance! #DTS",
816324000000000000,-2.133671761,15.89320564,1,"""""""@DanScavino: Ford to scrap Mexico plant, invest in Michigan due to Trump policies""""https://t.co/137nUo03Gl""",
816328000000000000,-10.11073399,-1.59181118,2,"Instead of driving jobs and wealth away, AMERICA will become the world's great magnet for INNOVATION &amp, JOB CREATION.https://t.co/siXrptsOrt",
816333000000000000,34.81953049,11.83700848,0,There should be no further releases from Gitmo. These are extremely dangerous people and should not be allowed back onto the battlefield.,
816355000000000000,2.824038744,-40.89298248,3,"""""""Trump is already delivering the jobs he promised America"""" https://t.co/11spTMa6Tm""",
816434000000000000,-4.540307045,39.13063049,3,I will be having a general news conference on JANUARY ELEVENTH in N.Y.C. Thank you.,
816453000000000000,0.78945595,-20.04483032,3,"""The """"Intelligence"""" briefing on so-called """"Russian hacking"""" was delayed until Friday, perhaps more time needed to build a case. Very strange!""",
816621000000000000,34.44875336,-16.59366226,3,"""Julian Assange said """"a 14 year old could have hacked Podesta"""" - why was DNC so careless? Also said Russians did not give him the info!""",
816633000000000000,17.4717617,-30.67733574,3,"""""""@FoxNews: Julian Assange on U.S. media coverage: “It’s very dishonest.” #Hannity https://t.co/ADcPRQifH9"""" More dishonest than anyone knows""",
816635000000000000,-0.002342475,17.48262215,2,Thank you to Ford for scrapping a new plant in Mexico and creating 700 new jobs in the U.S. This is just the beginning - much more to follow,
816637000000000000,38.50193405,-19.65571594,0,"""Somebody hacked the DNC but why did they not have """"hacking defense"""" like the RNC has and why have they not responded to the terrible......""",
816638000000000000,33.14131165,-3.512495279,0,"things they did and said (like giving the questions to the debate to H). A total double standard! Media, as usual, gave them a pass.",
816644000000000000,7.576738834,-0.548683465,3,"Republicans must be careful in that the Dems own the failed ObamaCare disaster, with its poor coverage and massive premium increases......",
816646000000000000,7.265955925,-22.42335892,0,"like the 116% hike in Arizona. Also, deductibles are so high that it is practically useless. Don't let the Schumer clowns out of this web...",
816652000000000000,11.55469894,-3.47092557,0,massive increases of ObamaCare will take place this year and Dems are to blame for the mess. It will fall of its own weight - be careful!,
816719000000000000,-3.359950066,-20.28810501,3,"""Jackie Evancho's album sales have skyrocketed after announcing her Inauguration performance.Some people just don't understand the """"Movement""""""",
816977000000000000,27.7729454,6.430148125,0,"The Democrats, lead by head clown Chuck Schumer, know how bad ObamaCare is and what a mess they are in. Instead of working to fix it, they..",
816978000000000000,7.160696983,-32.79339218,0,"""...do the typical political thing and BLAME. The fact is ObamaCare was a lie from the beginning.""""Keep you doctor, keep your plan!"""" It is....""",
816979000000000000,24.95075417,5.974820137,0,"...time for Republicans &amp, Democrats to get together and come up with a healthcare plan that really works - much less expensive &amp, FAR BETTER!",
816999000000000000,32.2518425,-21.17463112,3,"The dishonest media likes saying that I am in Agreement with Julian Assange - wrong. I simply state what he states, it is for the people....",
817004000000000000,26.22253799,-24.75564575,0,"""to make up their own minds as to the truth. The media lies to make it look like I am against """"Intelligence"""" when in fact I am a big fan!""",
817072000000000000,-1.82798481,17.22945023,2,"Toyota Motor said will build a new plant in Baja, Mexico, to build Corolla cars for U.S. NO WAY! Build plant in U.S. or pay big border tax.",
817165000000000000,21.66854095,-22.41916847,3,"""How did NBC get """"an exclusive look into the top secret report he (Obama) was presented?"""" Who gave them this report and why? Politics!""",
817166000000000000,16.00732231,-14.21882248,3,The Democratic National Committee would not allow the FBI to study or see its computer info after it was supposedly hacked by Russia......,
817169000000000000,37.71286774,-1.421398878,0,So how and why are they so sure about hacking if they never even requested an examination of the computer servers? What is going on?,
817330000000000000,6.811907768,-11.45502377,3,"The dishonest media does not report that any money spent on building the Great Wall (for sake of speed), will be paid back by Mexico later!",
817335000000000000,7.774733543,-38.15721512,0,Hillary and the Dems were never going to beat the PASSION of my voters. They saw what was happening in the last two weeks before the......,
817336000000000000,39.75967407,-18.35728836,0,and knew they were in big trouble - which is why they cancelled their big fireworks at the last minute.THEY SAW A MOVEMENT LIKE NEVER BEFORE,
817341000000000000,21.34991074,20.10842323,0,"Hopefully, all supporters, and those who want to MAKE AMERICA GREAT AGAIN, will go to D.C. on January 20th. It will be a GREAT SHOW!",
817349000000000000,14.91754341,6.673116207,3,"""Wow, the ratings are in and Arnold Schwarzenegger got """"swamped"""" (or destroyed) by comparison to the ratings machine, DJT. So much for....""",
